id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5066535,BARBERINI HI-TECH,12790054,Matteo,,I Centro Storico,41.90589,12.48805,Entire home/apt,215,3,66,2019-08-21,0.84,9,283,0,
5073109,Amazing terrace near Colosseum,26197650,Natalia,,I Centro Storico,41.88832,12.50288,Entire home/apt,259,2,186,2021-09-27,2.49,6,300,22,
5074547,THE ROMAN EMPIRE (sanitized with ozone),1180196,Andrea,,I Centro Storico,41.89104,12.49506,Entire home/apt,76,1,372,2021-10-04,4.67,12,191,19,ATR-001731-9
5074786,Lovely apartment next St. Peter,26205736,Ugo,,I Centro Storico,41.91203,12.44872,Entire home/apt,100,3,12,2019-05-22,0.16,1,282,1,
5075604,Centro Testaccio Piramide Ostiense Room Priv BathR,14791456,Marco,,VIII Appia Antica,41.87086,12.47915,Private room,46,2,103,2019-05-02,1.33,4,345,2,
5075615,DBP Doppia con bagno privato,26209909,Teresa,,XIV Monte Mario,41.92707,12.42692,Hotel room,70,1,7,2015-06-15,0.09,2,0,0,
5080639,Penthouse in the heart of Testaccio,26240631,Daniele,,I Centro Storico,41.87936,12.47421,Entire home/apt,100,3,0,,,1,40,0,
5081047,Dolce Vita Holidays Home,7497126,Rome,,I Centro Storico,41.90896,12.4976,Entire home/apt,149,3,331,2020-10-12,4.37,14,37,15,
5082409,Luxury apartment in Trastevere area,26250493,Patrizia,,I Centro Storico,41.87665,12.47012,Entire home/apt,100,4,22,2021-08-29,0.33,1,282,1,
5082563,Converted barn in the Rome suburbs,26251393,John,,XIV Monte Mario,42.0033,12.36515,Entire home/apt,100,2,1,2018-07-26,0.03,1,315,0,
5085585,Luxury Stay Gregorio @ Vatican,26269084,Tania,,XIII Aurelia,41.89612,12.44089,Entire home/apt,76,88,129,2019-05-25,1.63,3,250,0,
5087363,Residenza Talenti - Camera Dus,3778714,Residenza Talenti,,III Monte Sacro,41.94503,12.54988,Private room,75,1,3,2019-03-10,0.06,3,365,0,
5087397,Downtown Studio Apartment at Termini Station,13710209,Matteo,,I Centro Storico,41.90576,12.50056,Entire home/apt,35,6,222,2020-01-25,2.77,3,193,5,
5088457,iFlat | Via Giulia Charming Apartment,23532561,IFlat,,I Centro Storico,41.89879,12.46514,Entire home/apt,718,2,123,2019-08-18,1.52,169,213,0,
5089965,6 ensuite bedrooms flat in the heart Rome- Parking,26296779,Lucrezia,,I Centro Storico,41.90242,12.4901,Entire home/apt,589,1,49,2020-01-19,0.63,9,319,0,
5092092,My San Lorenzo appartment,22655196,Elisabetta,,II Parioli/Nomentano,41.89685,12.51415,Entire home/apt,85,3,109,2019-10-30,1.37,1,194,6,
5092821,Rome-Monteverde.  Beautiful Apt.,25983352,Jude,,XII Monte Verde,41.86856,12.4487,Entire home/apt,135,1,0,,,1,365,0,
5099157,Romecentreapt Fontana di Trevi Piazza di Spagna!,25982108,Barbara,,I Centro Storico,41.90863,12.49802,Entire home/apt,80,2,76,2018-07-05,0.95,3,327,2,SCIA 56550 DEL 10/09/2016 RADAR N. 17032 - CIR 10425 - CIU CVN 002475
5099627,Lovely 1-bdr apartment in Rome!,2816961,Chiara,,I Centro Storico,41.89549,12.47691,Entire home/apt,156,30,44,2019-09-14,0.76,7,5,0,
5102155,JAZZ STYLE Rome attic Trastevere,21738483,Jazz Style,,XII Monte Verde,41.87686,12.46643,Entire home/apt,74,2,98,2019-09-18,1.39,5,341,5,
5105201,VILLA ARVALIA APARTMENT,26292255,Giovanni,,XI Arvalia/Portuense,41.84962,12.42163,Entire home/apt,90,1,122,2021-07-24,1.71,1,333,8,
5107613,Residenza Talenti - Camera Doppia/Matrimoniale,3778714,Residenza Talenti,,III Monte Sacro,41.94314,12.54968,Hotel room,89,1,0,,,3,364,0,
5110536,Big room + well connected to center,3269623,Marco & Francesca,,III Monte Sacro,41.93583,12.52732,Private room,28,5,19,2019-04-25,0.28,2,0,0,
5112006,Sunny apartment Marconi-Roma Italy,16662975,Joni,,XI Arvalia/Portuense,41.86196,12.46282,Entire home/apt,70,4,5,2020-01-06,0.15,1,284,0,
5120833,Una casetta a castel s.angelo,26465386,Antonella,,I Centro Storico,41.89867,12.46749,Entire home/apt,105,2,95,2019-09-27,1.51,2,329,0,QA/2020/19398
5121332,Residenza Talenti - Camera Tripla,3778714,Residenza Talenti,,III Monte Sacro,41.94548,12.55059,Private room,100,1,2,2018-07-08,0.04,3,365,0,
5121553,Roman holiday in Monteverde,24567005,Annalisa,,XII Monte Verde,41.87298,12.45207,Entire home/apt,70,5,4,2015-10-25,0.05,1,0,0,
5121697,Corso 12 Luxury Rooms & Suites - Piazza Di Spagna,26400960,Corso 12,,I Centro Storico,41.90922,12.47698,Private room,390,1,0,,,3,363,0,
5122772,New look!! Typical apartment in the heart of Rome!,26475709,Sandra,,I Centro Storico,41.89431,12.47793,Entire home/apt,90,2,118,2019-10-02,1.47,1,359,0,
5125058,Colosseo at A Star Inn-Rome,26296779,Lucrezia,,I Centro Storico,41.90239,12.49012,Private room,79,1,15,2021-09-29,0.19,9,329,2,
5128994,"Isidora Bnb groups: 2 rooms ensuite, kitchen A/C!",6381467,Isidora,,V Prenestino/Centocelle,41.88387,12.53753,Entire home/apt,80,1,21,2019-12-26,0.34,3,253,0,
5139712,TRASTEVERE Rizzo's Estate-Natale 27,26572744,Claudio,,I Centro Storico,41.88795,12.47066,Entire home/apt,130,2,72,2020-03-02,0.91,3,0,0,
5139932,Pied-a-Rome A:  chic mini-loft,2544960,Claudio,,I Centro Storico,41.91037,12.45925,Entire home/apt,70,3,139,2019-10-15,1.74,2,32,4,
5140297,Corso 12 Luxury Rooms & Suites - Piazza Di Spagna,26400960,Corso 12,,I Centro Storico,41.90922,12.47698,Private room,494,1,1,2020-01-01,0.05,3,362,0,
5140307,Lazin House Veneto Luxury House,10842483,Robert,,II Parioli/Nomentano,41.9099,12.48947,Entire home/apt,130,3,176,2019-07-27,2.20,3,143,0,
5140380,Fontana di Trevi Loft  private pool 200 msquared,10842483,Robert,,I Centro Storico,41.90187,12.48676,Entire home/apt,200,3,179,2018-09-20,2.37,3,135,2,
