id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22948935,Room 21 “TwentyOne”,23556025,Jonathan,,UMBRIA - MOLISE,45.44769,9.22049,Private room,48,1,72,2019-05-30,1.60,3,0,0,
22950049,4 Bed Mixed Dorm @ Madama Hostel - Free breakfast,98289063,Madama,,PARCO DELLE ABBAZIE,45.42238,9.23429,Hotel room,39,1,0,,,5,276,0,T9K4ZHO
22952117,"Smart Bright Cozy Flat in Nolo, Centrale District",2090287,Annapaola,,LORETO,45.49166,9.22374,Entire home/apt,40,21,4,2019-02-28,4,2,48,1,
22953673,Petite delight in a restful area,133099547,Guido,,MECENATE,45.44991,9.24646,Entire home/apt,99,1,44,2019-09-09,0.98,7,183,0,
22953764,Elegante Appartamento in Palazzo d'Epoca,170043502,Lanzone,,DUOMO,45.46055,9.17532,Entire home/apt,114,1,21,2019-09-09,0.83,1,0,0,
22962379,Beatrice's Unique Loft,170148975,Beatrice,,TICINESE,45.45465,9.18122,Entire home/apt,140,3,84,2020-02-16,1.90,1,0,0,
22966156,Cosy room in Milan city center,13482014,Fede,,BUENOS AIRES - VENEZIA,45.47667,9.22173,Private room,50,1,1,2019-06-30,0.04,5,0,0,
22966578,Comfy Loft in the Heart of Milan Navigli,12729310,Rossella,,MAGENTA - S. VITTORE,45.45672,9.17054,Entire home/apt,120,2,3,2018-04-20,0.07,1,84,0,
22966723,Large studio in Milan city center,13482014,Fede,,BUENOS AIRES - VENEZIA,45.4774,9.22331,Private room,50,1,2,2019-06-30,0.06,5,110,0,
22974697,NICE HOUSE IN MILAN NEAR DUOMO,30899312,Adriana,,BUENOS AIRES - VENEZIA,45.47208,9.20934,Entire home/apt,55,3,1,2018-04-21,0.02,1,291,0,
22975010,MICASAESTUCASA,4382970,Veronica,,NAVIGLI,45.44552,9.16494,Entire home/apt,350,4,1,2018-04-22,0.02,1,0,0,
22975746,Cozy flat in the city center!,49275119,Ida,,XXII MARZO,45.46221,9.21273,Entire home/apt,100,2,3,2018-04-22,0.10,1,132,0,
22976746,SMALL STUDIO RENT FOR DESING WEEK,170329869,Marco,,PADOVA,45.50029,9.22443,Entire home/apt,100,3,1,2018-04-22,0.02,1,365,0,
22978883,Beautiful and elegant flat right into the center,73720318,Andrea,,DUOMO,45.4612,9.17733,Private room,730,1,1,2018-04-20,0.02,2,0,0,
22982078,Cozy Private Room / 10 mins by metro from Centre,86889816,Sreeja,,PARCO LAMBRO - CIMIANO,45.49326,9.23643,Private room,45,3,6,2019-11-17,0.25,7,82,0,
22982928,"loft in zona centrale, vicino a piazzale Libia",22292012,Virginia,,XXII MARZO,45.45439,9.2147,Entire home/apt,100,3,2,2019-04-14,0.05,1,322,0,
22983012,Cosy apartment in Milan Bocconi-Navigli,24122078,Domenico,,PORTA ROMANA,45.45012,9.19707,Entire home/apt,90,5,11,2018-06-18,0.25,1,0,0,
22983087,Two Single Beds in a Shared Room [2 Guests],86889816,Sreeja,,PARCO LAMBRO - CIMIANO,45.49319,9.23752,Shared room,45,3,0,,,7,83,0,
22983118,"Elegante appartamento, anche day use in zona Portello.",2496360,Gloria,,VILLAPIZZONE,45.50275,9.14068,Entire home/apt,81,1,42,2018-06-23,0.93,2,279,8,
22991731,"Milan Smart Studio withSmartTV,Terrace&KingsizeBed",139089406,Ann,,STADERA,45.42711,9.16838,Entire home/apt,89,1,15,2019-07-08,0.35,1,0,0,
22991774,InUrbe - spacious studio Navigli/Bocconi,59448831,Roberta,,TICINESE,45.44515,9.17737,Entire home/apt,59,4,74,2019-12-14,1.64,1,77,8,CIR: 015146-CNI-02831
22992122,"Intero appartamento, luminoso, centrale, free wifi",170518102,Donald,,SARPI,45.48116,9.16802,Entire home/apt,60,2,25,2018-04-16,0.56,1,0,0,
22992349,Fantastico trilocale adiacente al NABA,26660146,Giuliana,,NAVIGLI,45.44641,9.17169,Entire home/apt,150,2,10,2021-07-17,0.23,1,307,1,
22993478,Luxury apartment,170533504,Paolo,,BRERA,45.47312,9.18356,Entire home/apt,350,1,4,2018-04-22,0.09,1,363,0,
22998970,"'50s Design Apartment - 20"" dal Duomo",148651803,Roberta,,AFFORI,45.52199,9.16956,Entire home/apt,55,2,8,2018-04-21,0.18,1,0,0,
22999717,Upper single bed in a 'shared room' | 1 guest,86889816,Sreeja,,PARCO LAMBRO - CIMIANO,45.49518,9.2385,Shared room,35,3,6,2019-11-22,0.25,7,89,0,
23011614,Cozy 1 bdrm apartment in vibrant and elegant area.,129432713,Lodovica,,DE ANGELI - MONTE ROSA,45.47258,9.1528,Entire home/apt,180,1,1,2018-04-21,0.02,1,263,0,
23015173,Brera-magnifico trilocale epoca con terrazzo,34835541,Veronica,,DUOMO,45.4642,9.18998,Entire home/apt,259,3,62,2019-11-21,1.46,1,106,0,
23015209,NEW ELEGANT FLAT 3 MIN from CENTRAL STATION.,47028090,Luca,,CENTRALE,45.48767,9.20092,Entire home/apt,120,2,30,2019-11-17,0.68,1,203,3,015146-CNI-03553
23015509,Appartamento ristrutturato (Solari/Savona/Tortona),22166847,Antonio,,TORTONA,45.45125,9.15575,Private room,98,1,5,2019-09-24,0.11,2,0,0,
23019302,Franky Home Dergano,25102243,Alberto Enrico,,DERGANO,45.50351,9.17946,Private room,38,2,117,2021-10-09,2.70,1,143,12,
23020546,Suite Passion 13,109583812,Viviana,,CENTRALE,45.48442,9.20483,Entire home/apt,63,1,203,2021-07-18,4.63,5,22,24,
23021810,Charming apartment overlooking Parco Sempione,20108303,Giovanni,,BRERA,45.47684,9.18143,Entire home/apt,90,1,24,2020-02-07,0.66,2,0,0,
23022231,Studio flat in the old lively heart of Milan,22139770,Rosangela,,TICINESE,45.45566,9.17971,Entire home/apt,71,3,120,2019-08-15,2.75,1,16,0,
23023461,Stanza condivisa / Shared room,67635313,Alessandro,,PARCO LAMBRO - CIMIANO,45.50306,9.24604,Shared room,15,15,2,2021-05-23,0.05,1,291,1,
